1.22, -11.9602, 0.382783, 63.8005,
1.23, -11.9626, 0.364306, 63.8132,
1.24, -11.965, 0.346709, 63.8251,
1.25, -11.9672, 0.329951, 63.8361,
1.26, -11.9692, 0.313993, 63.8465,
1.27, -11.9711, 0.298797, 63.8562,
1.28, -11.9729, 0.284329, 63.8653,
1.29, -11.9746, 0.270554, 63.8738,
1.3, -11.9762, 0.25744, 63.8817,
1.31, -11.9776, 0.244954, 63.8892,
1.32, -11.979, 0.233069, 63.8961,
1.33, -11.9803, 0.221755, 63.9026,
1.34, -11.9815, 0.210985, 63.9087,
1.35, -11.9827, 0.200734, 63.9144,
1.36, -11.9837, 0.190976, 63.9198,
1.37, -11.9847, 0.181689, 63.9248,
1.38, -11.9857, 0.17285, 63.9295,
1.39, -11.9865, 0.164437, 63.9339,
1.4, -11.9874, 0.15643, 63.938,
1.41, -11.9881, 0.148811, 63.9418,
1.42, -11.9889, 0.141559, 63.9454,
1.43, -11.9895, 0.134658, 63.9488,
1.44, -11.9902, 0.128091, 63.952,
1.45, -11.9908, 0.121842, 63.9549,
1.46, -11.9913, 0.115895, 63.9577,
1.47, -11.9919, 0.110237, 63.9603,
1.48, -11.9924, 0.104852, 63.9628,
1.49, -11.9928, 0.0997289, 63.9651,
1.5, -11.9933, 0.0948539, 63.9672,
1.51, -11.9937, 0.0902155, 63.9692,
1.52, -11.9941, 0.0858021, 63.9711,
1.53, -11.9944, 0.0816031, 63.9729,
1.54, -11.9948, 0.0776079, 63.9745,
1.55, -11.9951, 0.0738069, 63.9761,
1.56, -11.9954, 0.0701906, 63.9776,
1.57, -11.9957, 0.0667501, 63.9789,
1.58, -11.9959, 0.063477, 63.9802,
1.59, -11.9962, 0.0603631, 63.9814,
1.6, -11.9964, 0.0574008, 63.9825,
1.61, -11.9966, 0.0545827, 63.9836,
1.62, -11.9968, 0.0519019, 63.9846,
1.63, -11.997, 0.0493517, 63.9855,
1.64, -11.9972, 0.0469258, 63.9864,
1.65, -11.9974, 0.0446182, 63.9872,
1.66, -11.9975, 0.0424232, 63.988,
1.67, -11.9977, 0.0403352, 63.9887,
1.68, -11.9978, 0.0383492, 63.9894,
1.69, -11.9979, 0.0364602, 63.9901,
1.7, -11.9981, 0.0346635, 63.9907,
1.71, -11.9982, 0.0329546, 63.9912,
1.72, -11.9983, 0.0313293, 63.9918,
1.73, -11.9984, 0.0297834, 63.9923,
1.74, -11.9985, 0.0283132, 63.9927,
1.75, -11.9986, 0.0269149, 63.9932,
1.76, -11.9987, 0.0255851, 63.9936,
1.77, -11.9987, 0.0243205, 63.994,
1.78, -11.9988, 0.0231178, 63.9943,
1.79, -11.9989, 0.0219741, 63.9947,
1.8, -11.999, 0.0208865, 63.995,
1.81, -11.999, 0.0198523, 63.9953,
1.82, -11.9991, 0.0188689, 63.9956,
1.83, -11.9991, 0.0179337, 63.9958,
1.84, -11.9992, 0.0170445, 63.9961,
1.85, -11.9992, 0.016199, 63.9963,
1.86, -11.9993, 0.0153951, 63.9965,
1.87, -11.9993, 0.0146307, 63.9967,
1.88, -11.9994, 0.0139039, 63.9969,
1.89, -11.9994, 0.013213, 63.9971,
1.9, -11.9994, 0.012556, 63.9973,
1.91, -11.9995, 0.0119315, 63.9975,
1.92, -11.9995, 0.0113377, 63.9976,
1.93, -11.9995, 0.0107732, 63.9977,
1.94, -11.9996, 0.0102366, 63.9979,
1.95, -11.9996, 0.00972647, 63.998,
1.96, -11.9996, 0.00924154, 63.9981,
1.97, -11.9996, 0.00878057, 63.9982,
1.98, -11.9997, 0.0083424, 63.9983,
1.99, -11.9997, 0.00792589, 63.9984,
2, -11.9997, 0.00753, 63.9985,
2.01, -11.9997, 0.0071537, 63.9986,
2.02, -11.9997, 0.00679605, 63.9987,
2.03, -11.9997, 0.00645612, 63.9988,
2.04, -11.9998, 0.00613304, 63.9989,
2.05, -11.9998, 0.00582598, 63.9989,
2.06, -11.9998, 0.00553416, 63.999,
2.07, -11.9998, 0.00525683, 63.999,
2.08, -11.9998, 0.00499328, 63.9991,
2.09, -11.9998, 0.00474282, 63.9992,
2.1, -11.9998, 0.00450481, 63.9992,
2.11, -11.9998, 0.00427865, 63.9993,
2.12, -11.9999, 0.00406373, 63.9993,
2.13, -11.9999, 0.00385952, 63.9993,
2.14, -11.9999, 0.00366548, 63.9994,
2.15, -11.9999, 0.00348111, 63.9994,
2.16, -11.9999, 0.00330593, 63.9994,
2.17, -11.9999, 0.0031395, 63.9995,
2.18, -11.9999, 0.00298136, 63.9995,
2.19, -11.9999, 0.00283113, 63.9995,
2.2, -11.9999, 0.00268839, 63.9996,
2.21, -11.9999, 0.0025528, 63.9996,
2.22, -11.9999, 0.00242398, 63.9996,
2.23, -11.9999, 0.00230161, 63.9996,
2.24, -11.9999, 0.00218536, 63.9997,
2.25, -11.9999, 0.00207493, 63.9997,
2.26, -11.9999, 0.00197003, 63.9997,
2.27, -11.9999, 0.0018704, 63.9997,
2.28, -11.9999, 0.00177576, 63.9997,
2.29, -11.9999, 0.00168586, 63.9997,
2.3, -12, 0.00160048, 63.9998,
2.31, -12, 0.00151939, 63.9998,
2.32, -12, 0.00144237, 63.9998,
2.33, -12, 0.00136922, 63.9998,
2.34, -12, 0.00129975, 63.9998,
2.35, -12, 0.00123378, 63.9998,
2.36, -12, 0.00117113, 63.9998,
2.37, -12, 0.00111163, 63.9998,
2.38, -12, 0.00105513, 63.9999,
2.39, -12, 0.00100148, 63.9999,
2.4, -12, 0.000950531, 63.9999,
2.41, -12, 0.000902155, 63.9999,
2.42, -12, 0.000856221, 63.9999,
2.43, -12, 0.000812607, 63.9999,
2.44, -12, 0.000771197, 63.9999,
2.45, -12, 0.00073188, 63.9999,
2.46, -12, 0.000694551, 63.9999,
2.47, -12, 0.000659111, 63.9999,
2.48, -12, 0.000625465, 63.9999,
2.49, -12, 0.000593523, 63.9999,
2.5, -12, 0.000563199, 63.9999,
2.51, -12, 0.000534413, 63.9999,
2.52, -12, 0.000507086, 63.9999,
2.53, -12, 0.000481145, 63.9999,
2.54, -12, 0.000456522, 63.9999,
2.55, -12, 0.000433148, 63.9999,
2.56, -12, 0.000410962, 64,
2.57, -12, 0.000389904, 64,
2.58, -12, 0.000369917, 64,
2.59, -12, 0.000350946, 64,
2.6, -12, 0.000332941, 64,
2.61, -12, 0.000315852, 64,
2.62, -12, 0.000299634, 64,
2.63, -12, 0.000284243, 64,
